"type";"node_id";"flow_change";"codi_sad";"nom";"ma";"nearest_node"
"massa";"1";"2,000000000000000";NA;NA;NA;"9"
"massa";"2";"1,000000000000000";NA;NA;NA;"3"
"massa";"3";"2,000000000000000";NA;NA;NA;"94"
"massa";"4";"1,000000000000000";NA;NA;NA;"12"
"massa";"5";"3,000000000000000";NA;NA;NA;"4"
"massa";"6";"1,000000000000000";NA;NA;NA;"7"
"massa";"7";"1,000000000000000";NA;NA;NA;"6"
"massa";"8";"1,000000000000000";NA;NA;NA;"7"
"massa";"9";"1,000000000000000";NA;NA;NA;"1"
"massa";"10";"1,000000000000000";NA;NA;NA;"11"
"massa";"11";"3,000000000000000";NA;NA;NA;"80"
"massa";"12";"2,000000000000000";NA;NA;NA;"105"
"massa";"13";"3,000000000000000";NA;NA;NA;"12"
"massa";"14";"1,000000000000000";NA;NA;NA;"15"
"massa";"15";"2,000000000000000";NA;NA;NA;"14"
"massa";"16";"1,000000000000000";NA;NA;NA;"15"
"massa";"17";"3,000000000000000";NA;NA;NA;"111"
"massa";"18";"1,000000000000000";NA;NA;NA;"116"
"massa";"19";"3,000000000000000";NA;NA;NA;"100"
"massa";"20";"2,000000000000000";NA;NA;NA;"81"
"massa";"21";"3,000000000000000";NA;NA;NA;"103"
"massa";"22";"3,000000000000000";NA;NA;NA;"21"
"massa";"23";"3,000000000000000";NA;NA;NA;"117"
"massa";"24";"3,000000000000000";NA;NA;NA;"19"
"massa";"25";"1,000000000000000";NA;NA;NA;"26"
"massa";"26";"3,000000000000000";NA;NA;NA;"25"
"massa";"27";"1,000000000000000";NA;NA;NA;"26"
"massa";"28";"1,000000000000000";NA;NA;NA;"30"
"massa";"29";"2,000000000000000";NA;NA;NA;"112"
"massa";"30";"1,000000000000000";NA;NA;NA;"114"
"massa";"31";"3,000000000000000";NA;NA;NA;"106"
"massa";"32";"2,000000000000000";NA;NA;NA;"98"
"massa";"33";"2,000000000000000";NA;NA;NA;"82"
"massa";"34";"3,000000000000000";NA;NA;NA;"82"
"massa";"35";"3,000000000000000";NA;NA;NA;"37"
"massa";"36";"1,000000000000000";NA;NA;NA;"37"
"massa";"37";"2,000000000000000";NA;NA;NA;"35"
"massa";"38";"2,000000000000000";NA;NA;NA;"84"
"massa";"39";"3,000000000000000";NA;NA;NA;"89"
"massa";"40";"3,000000000000000";NA;NA;NA;"123"
"massa";"41";"2,000000000000000";NA;NA;NA;"108"
"massa";"42";"2,000000000000000";NA;NA;NA;"107"
"massa";"43";"1,000000000000000";NA;NA;NA;"42"
"massa";"44";"1,000000000000000";NA;NA;NA;"43"
"massa";"45";"2,000000000000000";NA;NA;NA;"48"
"massa";"46";"1,000000000000000";NA;NA;NA;"145"
"massa";"47";"3,000000000000000";NA;NA;NA;"101"
"massa";"48";"3,000000000000000";NA;NA;NA;"102"
"massa";"49";"2,000000000000000";NA;NA;NA;"102"
