E_S;CODI_SAD;NOM;RIU;X_COOR;Y_COOR;MA;NOM_MA;ANY;ESTAT_SEQUERA;RECURS_REGULAT;UNITATS;ANUAL;T1;T2;T3;T4;S1;S2;GEN;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;UNITATS_DIARITZAT;DIARITZAT_GEN;DIARITZAT_FEB;DIARITZAT_MAR;DIARITZAT_ABR;DIARITZAT_MAY;DIARITZAT_JUN;DIARITZAT_JUL;DIARITZAT_AGO;DIARITZAT_SEP;DIARITZAT_OCT;DIARITZAT_NOV;DIARITZAT_DIC;SI_CABAL_DIARI;NITROGEN_TOTAL_SORTIDA;CODI_EDAR;PRE_POST_PASTERAL
S;ETAP_MONFULLA;ETAP MONTFULLA;TER;467861;4648369;ES100MSPF2000227;El Pasteral;2023;excepcionalitat;REG;HM3;19,672416;4,43232;4,689792;5,833728;4,716576;10,52352;9,148896;1,526688;1,378944;1,526688;1,50336;1,553472;1,63296;1,982016;2,089152;1,76256;1,714176;1,52928;1,47312;M3/S;0,57;0,57;0,57;0,58;0,58;0,63;0,74;0,78;0,68;0,64;0,59;0,55;NA;NA;NA;POST
S;ETAP_MONFULLA;ETAP MONTFULLA;TER;467861;4648369;ES100MSPF2000227;El Pasteral;2022;prealerta;REG;HM3;20,184768;4,145472;5,083776;6,424704;4,530816;11,50848;8,676288;1,446336;1,306368;1,392768;1,45152;1,714176;1,91808;2,303424;2,41056;1,71072;1,60704;1,47744;1,446336;M3/S;0,54;0,54;0,52;0,56;0,64;0,74;0,86;0,9;0,66;0,6;0,57;0,54;NA;NA;NA;POST
S;ETAP_MONFULLA;ETAP MONTFULLA;TER;467861;4648369;ES100MSPF2000227;El Pasteral;2021;normalitat;REG;HM3;19,944576;4,252608;5,18832;6,183648;4,32;11,371968;8,572608;1,446336;1,306368;1,499904;1,5552;1,74096;1,89216;2,249856;2,223072;1,71072;1,553472;1,37376;1,392768;M3/S;0,54;0,54;0,56;0,6;0,65;0,73;0,84;0,83;0,66;0,58;0,53;0,52;NA;NA;NA;POST
S;ETAP_MONFULLA;ETAP MONTFULLA;TER;467861;4648369;ES100MSPF2000227;El Pasteral;2020;normalitat;REG;HM3;18,779904;4,299264;4,431456;5,622912;4,426272;10,054368;8,725536;1,365984;1,353024;1,580256;1,34784;1,580256;1,50336;1,901664;2,062368;1,65888;1,553472;1,39968;1,47312;M3/S;0,51;0,54;0,59;0,52;0,59;0,58;0,71;0,77;0,64;0,58;0,54;0,55;NA;NA;NA;POST
E;EDAR_GIRONA;EDAR GIRONA;TER;486041,307;4652844,387;ES100MSPF2000380;El Ter entre l'Onyar i el Terri;MITJANA_2010-20;NA;NA;HM3;15,03362;3,70692;3,748108;3,789296;3,789296;7,537404;7,496216;1,276828;1,153264;1,276828;1,23564;1,276828;1,23564;1,276828;1,276828;1,23564;1,276828;1,23564;1,276828;M3/S;0,476712963;0,476712963;0,476712963;0,476712963;0,476712963;0,476712963;0,476712963;0,476712963;0,476712963;0,476712963;0,476712963;0,476712963;41188;11,74;DGIR;POST
E;EDAR_ANGLES;EDAR ANGLÈS;TER;471959,97;4645629,82;ES100MSPF2000280;El Ter des del Pasteral fins a la confluència de l'Onyar;MITJANA_2010-20;NA;NA;HM3;1,065291306;0,262674568;0,265593175;0,268511781;0,268511781;0,534104956;0,53118635;0,090476796;0,081720977;0,090476796;0,087558189;0,090476796;0,087558189;0,090476796;0,090476796;0,087558189;0,090476796;0,087558189;0,090476796;M3/S;0,033780166;0,033780166;0,033780166;0,033780166;0,033780166;0,033780166;0,033780166;0,033780166;0,033780166;0,033780166;0,033780166;0,033780166;2918,606316;26,63120144;DANG;POST
E;EDAR_BANYOLES;EDAR BANYOLES;TERRI;486165,81;4659308,83;ES100MSPF2000410;Riu Terri des de la confluència del Revardit fins al Ter;MITJANA_2010-20;NA;NA;HM3;3,448452561;0,850303371;0,859751187;0,869199002;0,869199002;1,728950188;1,719502373;0,292882272;0,264538827;0,292882272;0,283434457;0,292882272;0,283434457;0,292882272;0,292882272;0,283434457;0,292882272;0,283434457;0,292882272;M3/S;0,109349713;0,109349713;0,109349713;0,109349713;0,109349713;0,109349713;0,109349713;0,109349713;0,109349713;0,109349713;0,109349713;0,109349713;9447,815237;32,63247436;DBAY;POST
E;EDAR_BESCANO;EDAR BESCANÓ;TER;480068,137;4646788,762;ES100MSPF2000280;El Ter des del Pasteral fins a la confluència de l'Onyar;MITJANA_2010-20;NA;NA;HM3;0,181823871;0,044833283;0,045331431;0,045829578;0,045829578;0,091161009;0,090662862;0,015442575;0,013948133;0,015442575;0,014944428;0,015442575;0,014944428;0,015442575;0,015442575;0,014944428;0,015442575;0,014944428;0,015442575;M3/S;0,005765597;0,005765597;0,005765597;0,005765597;0,005765597;0,005765597;0,005765597;0,005765597;0,005765597;0,005765597;0,005765597;0,005765597;498,1475913;28,89878681;DBSC;POST
E;EDAR_CAMPRODON;EDAR CAMPRODON;TER;447258,2443;4683337,261;ES100MSPF2000020;El Ter entre el Ritort i el Freser;MITJANA_2010-20;NA;NA;HM3;0,778713751;0,19201161;0,194145072;0,196278535;0,196278535;0,390423607;0,388290145;0,066137332;0,059736945;0,066137332;0,06400387;0,066137332;0,06400387;0,066137332;0,066137332;0,06400387;0,066137332;0,06400387;0,066137332;M3/S;0,024692851;0,024692851;0,024692851;0,024692851;0,024692851;0,024692851;0,024692851;0,024692851;0,024692851;0,024692851;0,024692851;0,024692851;2133,462333;14,72825;DCAM;PRE
E;EDAR_CASSA;EDAR CASSÀ DE LA SELVA;GOTARRA;486009,527;4636178;ES100MSPF2000340;Rieres de Gotarra, Verneda i Benaula;MITJANA_2010-20;NA;NA;HM3;1,24196408;0,306237718;0,30964036;0,313043001;0,313043001;0,622683361;0,619280719;0,105481881;0,095273957;0,105481881;0,102079239;0,105481881;0,102079239;0,105481881;0,105481881;0,102079239;0,105481881;0,102079239;0,105481881;M3/S;0,039382423;0,039382423;0,039382423;0,039382423;0,039382423;0,039382423;0,039382423;0,039382423;0,039382423;0,039382423;0,039382423;0,039382423;3402,641315;18,47919915;DCDS;POST
E;EDAR_CELRA;EDAR CELRÀ;TER;489239,716;4654888,465;ES100MSPF2000420;El Ter des de la confluència del Terri fins a Flaçà;MITJANA_2010-20;NA;NA;HM3;0,725167402;0,1788084;0,18079516;0,18278192;0,18278192;0,363577081;0,361590321;0,06158956;0,05562928;0,06158956;0,0596028;0,06158956;0,0596028;0,06158956;0,06158956;0,0596028;0,06158956;0,0596028;0,06158956;M3/S;0,022994907;0,022994907;0,022994907;0,022994907;0,022994907;0,022994907;0,022994907;0,022994907;0,022994907;0,022994907;0,022994907;0,022994907;1986,760004;22,89726668;DCLR;POST
E;EDAR_FLAÇA;EDAR FLAÇÀ;TER;496210,41;4656000,73;ES100MSPF2000420;El Ter des de la confluència del Terri fins a Flaçà;MITJANA_2010-20;NA;NA;HM3;0,118533142;0,02922735;0,029552099;0,029876847;0,029876847;0,059428945;0,059104197;0,010067198;0,009092953;0,010067198;0,00974245;0,010067198;0,00974245;0,010067198;0,010067198;0,00974245;0,010067198;0,00974245;0,010067198;M3/S;0,003758661;0,003758661;0,003758661;0,003758661;0,003758661;0,003758661;0,003758661;0,003758661;0,003758661;0,003758661;0,003758661;0,003758661;324,7483353;NA;DFLC;POST
